,EUR/USD,GBP/USD,USD/JPY,USD/CHF
count,4687.0,11708.0,11702.0,11708.0
mean,2.0890276923837395e-05,-3.502025084214446e-05,-8.02642948383649e-05,-0.00010217137795103381
std,0.0062910479562497635,0.005989488186429845,0.006487704241429672,0.007271513781167124
min,-0.02958455728073861,-0.078445945945946,-0.09067039487144501,-0.1220998820290996
25%,-0.0034456678257788753,-0.002920180443588688,-0.002981415081259653,-0.00375412520240867
50%,0.0,5.227979970645613e-05,0.0,0.0
75%,0.003537104741529573,0.002928985481898183,0.003079861412010554,0.003592854164005399
max,0.04729214340198329,0.04695431472081224,0.06455386578751465,0.09297888577969982
skewness,0.15110840070789014,-0.3216304924430238,-0.554028239113148,-0.23047656347741188
kurtosis,2.259082197072281,6.95141960490338,8.612826555655628,12.369660322149453
